Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Determinants of retail bank choice in Nigeria: a focus on gender-based choice decisions,"Omar, OE",2008,10.1007/s11628-008-0039-1,"As the Nigerian retail banks customers become more sophisticated, it is now very important that retail banks determine the factors that are important and relevant to the customers' retail bank choice decisions. By using a survey of retail bank customers, this study evaluates the relative importance attached to retail banks' choice criteria used by male and female customers in Nigeria. The results show that there are some differences in choice factors used by male and female customers in selecting a retail bank for patronage. The recommendation is that bank managers should take both female and male market segments into consideration when making retail bank strategic planning in order to become competitive. The findings can assist retail bank managers in refining their marketing strategies as a means of overcoming the intense competition that exists in the Nigerian banking system.",Nigerian bank customers; Male and female customers; Retail banking; Choice of retail banks,SPRINGER HEIDELBERG,wos-recommendation,Strategic,The abstract discusses the importance of understanding customer preferences in retail banking and recommends that bank managers consider both male and female market segments in their strategic planning. This aligns with long-term organizational goals and the nature of strategic planning.,60,20,10,5,5
Consumer self-construal and trust as determinants of the reactance to a recommender advice,"Aljukhadar, M; Trifts, V; Senecal, S",2017,10.1002/mar.21017,"Commercial recommendation agents (RAs) represent an important type of the decision support systems (DSSs) that are widely used by online retailers and firms. To date, little is known about the factors that shape the user's decision making and reactance toward the recommendations of these agents. Building on theories from psychology and information systems domains, this research proposes that a user's self-construal and trust are two relevant factors that interact to shape the behavior toward the RA advice. Two studies, the first conducted using potential online customers and the second conducted at a behavioral laboratory, provided support to this proposition. The first study considered RA trust and showed that activating the interdependent self leads users with low (high) trust to exhibit high reactance behavior toward the RA advice. The second study variated trust using trust cues and corroborated the latter finding, while showing no important impact for the psychological reactance trait. As expected, in both studies the reactance behavior of independent users was not affected by trust. These results contribute by underscoring that social interdependence extends to RAs because the role of trust becomes salient when the interdependent self is activated for a user.",decision making; DSS impact; reactance behavior; recommendation agents; self-construal; trust,WILEY,wos-recommendation,Operational,"The abstract discusses factors influencing user behavior towards commercial recommendation agents, which are directly related to managing day-to-day activities in online retail settings, such as consumer decisions and recommendations online.",10,20,60,0,10
Consumer Decision Making on the Web: A Theoretical Analysis and Research Guidelines,"Punj, G",2012,10.1002/mar.20564,"Recent empirical data on online shopping suggests that consumers have the potential to make better quality decisions while shopping on the web. But whether such potential is being realized by most consumers is an unresolved matter. Hence, the purpose of this research is to understand how (1) certain features of electronic environments have a favorable effect on the abilities of consumers to make better decisions, and (2) identify information-processing strategies that would enable consumers to make better quality decisions while shopping online. A cross-disciplinary theoretical analysis based on constructs drawn from economics (e.g., time costs), computing (e.g., recommendation agents), and psychology (e.g., decision strategies) is conducted to identify factors that potentially influence decision quality in electronic environments. The research is important from a theoretical standpoint because it examines an important aspect of online consumer decision making, namely, the impact of the electronic environment on the capabilities of consumers. It is important from both a managerial and public policy standpoint because the ability of shoppers to make better quality decisions while shopping online is directly related to improving market efficiency and enhancing consumer welfare in electronic markets.",,WILEY,wos-recommendation,Strategic,"The research focuses on understanding the long-term implications of electronic environments on consumer decision-making, aiming to improve market efficiency and enhance consumer welfare. It examines how various factors influence decision quality, which aligns with strategic planning to define organizational goals.",60,20,15,0,5
The Impact of Social Networking Sites on Luxury Vehicles Purchase Decision Process in Gulf Cooperation Council Countries,"Al-Abdallah, G; Khair, N; Elmarakby, R",2021,10.1080/08961530.2020.1867023,"Social networking sites are becoming an essential part of consumer daily activities, with profound changes in purchasing behavior compared to traditional buying formats. This study investigates the possible impact of social networking sites on the purchasing decision process concerning luxury vehicles in one of the most important markets for such products, the countries of the Gulf Cooperation Council (GCC). The study also investigates the possible impact of relative demographics on the direct relationship between social networking sites (independent variable) and the purchase decision process (dependent variable) of luxury vehicles. In order to achieve this aim, a descriptive analytical methodology is utilized with quantitative survey strategy, with a five-point Likert-type questionnaire. Of 1,500 personally submitted questionnaires distributed over a non-probability quota sample to the main showrooms and dealerships in the GCC, 1,257 were retrieved (a response rate of 83.8%); after the filtration and screening process, 1,224 valid questionnaire forms were statistically analyzed. The results indicate that social networking sites have a significant positive direct impact on the purchasing decision process of luxury vehicles in the examined population, with the highest impact being for the first two stages of the process (need recognition and information search). As for the moderation effect of relative demographics, only income and time daily time spent on social media had positive significant moderating effects on the direct relationship between social networking sites and purchasing decision process, while education had a negative significant effect. The results also indicated particular roles of certain social networking sites, like YouTube, and the fact that females prefer Snapchat over other digital platforms. Discussion, implications, and future research recommendation are provided based on the results of the analyses.",Social media; consumer behavior; demographic moderation; durable goods; automotive industry; GCC; need recognition; information search; evaluation of alternative; purchase decision,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",wos-recommendation,Tactical,"The study focuses on understanding the impact of social networking sites on the purchasing decision process for luxury vehicles, which aligns more closely with tactical decision-making that interprets strategic goals into structured targets and actionable insights.",10,75,10,0,5
It is a match! The effect of regulatory fit on new products recommendations,"Zhang, JH; Balaji, MS; Luo, J; Jha, S; Dwivedi, YK",2024,10.1002/mar.22016,"Online retailers often recommend new products to consumers. The present study examined the influence of regulatory fit on consumers' click-through intentions of new products recommended by online retailers. We proposed that regulatory fit resulting from aligning the product's regulatory focus and recommendation message's regulatory orientation positively influences click-through intention of new product recommendations. In a laboratory study (Study 1), we found that regulatory fit increase consumers' click-through behaviors of new product recommendations. Study 2 replicated the findings of Study 1 in a controlled online experiment and found support for regulatory fit-click-through intentions relationship. Study 3 found that regulatory fit increases click-through intentions for new products but not for existing products. Study 4 supported the mediating role of perceived efficacy and boundary condition of consumer innovativeness in the relationship between regulatory fit and click-through intentions. This study contributes to the literature on new product adoption, regulatory focus, and product recommendation strategies. Furthermore, it helps online retailors develop effective recommendation strategies for new product recommendations.",new products; recommendation message; recommendation systems; regulatory fit; regulatory focus,WILEY,wos-recommendation,Tactical,"The study focuses on understanding consumer behavior regarding click-through intentions for product recommendations, which is more structured and interprets strategic goals into actionable insights related to marketing tactics.",10,70,15,0,5
Product set granularity and consumer response to recommendations,"Tsekouras, D; Dellaert, BGC; Donkers, B; Häubl, G",2020,10.1007/s11747-019-00682-6,"Many consumer decisions are assisted by product recommendations. When retailers provide such recommendations, there is an inherent tension between (1) presenting a set of products that are close in attractiveness (fine product set granularity) and (2) presenting a wider range of products that are more different in attractiveness (coarse product set granularity). While the former can maximize the attractiveness of the recommended set of products, the latter makes it easier for consumers to determine which of the recommended products is most attractive, thus boosting consumer response. Evidence from a large-scale field study (with naturally occurring variation in the granularity of online recommendation sets) provides strong support for this tension and shows that less fine-grained product recommendation sets promote consumer response. We also find that, in line with our theorizing, coarser set granularity increases the time consumers spend processing detailed information about individual products relative to time they spend comparing products at the set level. These effects are less pronounced when consumer engagement in the decision process is low. The key insights from the field study are replicated in a tightly controlled experiment (using a different product domain). The findings of this research have important implications for how best to integrate large online assortments and product recommendations to stimulate consumer response.",Product recommendations; Product set granularity; Online assortments; Consumer response; Consumer decision-making,SPRINGER,wos-recommendation,Tactical,"The abstract discusses the fine and coarse granularity of product recommendations, which relates to how strategic goals (improving consumer response) are operationalized through structured decisions about recommendation sets. This aligns closely with tactical decision-making in marketing.",10,60,25,0,5
The R and D Marketing interface and single informant bias in NPD research: an illustration of a benchmarking case study,"Ernst, H; Teichert, T",1998,10.1016/S0166-4972(98)00069-8,"Analysing the performance of new product development (NPD) processes requires the reliable assessment of non-documented organizational characteristics. Based on key informant literature we discuss the difficulties of gaining reliable information from respondents and we identify potential sources for heterogeneous perceptions among different respondents. We assume that NPD research may be subject to response biases, if it is based on sole informants only. We apply an existing benchmarking approach for NPD processes in a comprehensive case study in order to illustrate sources and effects of single informant biases We find that perceptions differ substantially among the individual respondents. In particular, we observe different functional perceptions between respondents from Marketing and Research and Development. The results are consistent with expectations from interface theory, these perceptual differences have a severe impact on the managerial conclusions drawn from benchmarking. There appears to be no single reliable source of information within an organization. Furthermore, variances among informants' assessments should be recognized and regarded as valuable information. It is our recommendation that multiple informants ought to be included in future NPD research and benchmarking studies. (C) 1998 Elsevier Science Ltd. All rights reserved.",,ELSEVIER SCI LTD,wos-recommendation,Tactical,"The abstract discusses the assessment of new product development processes and emphasizes the importance of including multiple informants to avoid biases. This aligns more closely with tactical decision-making, where specific targets and structured decisions are made in the context of product development and benchmarking.",10,70,15,0,5
Competing for Recommendations: The Strategic Impact of Personalized Product Recommendations in Online Marketplaces,"Zhou, B; Zou, TX",2023,10.1287/mksc.2022.1388,"We study how an online marketplace's personalized product recommendations and its consumer profiling accuracy affect third-party sellers' competition and the market outcomes. Sellers strategically adjust prices to compete for the marketplace's recommendations. As the marketplace more accurately predicts consumers' preferences, the equilibrium price first decreases and then increases, and both the marketplace's and the sellers' profits may decrease despite the improved recommendation accuracy. Moreover, recommending the most profitable product for each recommendation may reduce profits of the marketplace and the sellers, and the marketplace can benefit from excluding pricing information in its recommendation decisions to prevent sellers' recommendation competition. Counterintuitively, regulations that bar recommendations from considering profit margin information can lead to higher prices and thus harm consumers. These results are driven by competing sellers' three distinctive incentives: competing for recommendations, exploiting targeted consumers, and undercutting rivals' prices. We also find that our key insights remain qualitatively unchanged if the marketplace recommends products based on consumer surplus, and the equilibrium price will be lower in comparison. Finally, various extensions demonstrate the robustness of these results.",online marketplace; personalization; recommendation system; platform bias; retail platform; platform regulation; search engine optimization,INFORMS,wos-recommendation,Strategic,"The abstract discusses long-term implications of personalized product recommendations on market outcomes, pricing strategies, and seller competition. It analyzes how these factors affect the overall market structure and profitability, indicating a focus on broader strategic goals rather than just operational or tactical decisions.",60,25,10,0,5
Ranking of choice cues for smartphones using the Best-Worst scaling method,"Pinto, L; Kaynak, E; Chow, CSF; Zhang, LDL",2019,10.1108/APJML-01-2018-0004,"Purpose The number of studies on the use of choice cues in the purchase decision of a smartphone does not appear to be extensive, given the size and rate of growth of the market. Surprisingly, it appears that no study of this type in the Chinese context has been undertaken. Therefore, the purpose of this paper is to fill the existing gap in the marketing literature in this area. Design/methodology/approach Best-Worst (BW) scaling method was used in the study. It is suggested that the method overcomes some of the biases commonly found in surveys where Likert-type scales are used, and it has superior discriminating power, because respondents are asked to rank the most and the least important factor from a group, and are thereby forced to make tradeoffs between factors. Findings Among the 13 choice cues, connectivity, price and memory capacity are found to be the most important, whereas recommendation from others, ease of handling and availability of apps are found to be the least important. Findings due to gender, income and age difference were also analyzed and discussed for orderly decision-making purpose",Smartphone; Chinese context; Best-Worst scaling method; Buying decision process; Product attributes; Ranking of importance,EMERALD GROUP PUBLISHING LTD,wos-recommendation,Tactical,"The study focuses on specific consumer choice cues in the smartphone purchasing decision process, which aligns with structured decision-making in marketing, such as analyzing preferences and factors influencing consumer behavior.",10,70,15,0,5
The impact of choice factors on international students' loyalty mediated by satisfaction,"Amaro, DM; Marques, AMA; Alves, H",2019,10.1007/s12208-019-00228-0,"The presence of international students is a valuable input for Higher Education Institutions (HEI) at all levels. Thus, it is critical to understand not only how students make their decisions and what factors and sources of information provided by the HEI most influence them, but also to evaluate students' satisfaction and loyalty with the choice made, in order to define the most suitable and competitive marketing strategies to attract and retain international students. Based on the information gathered through a questionnaire with a sample of 190 international students studying at a Portuguese HEI, a quantitative, cross-sectional and causal study was conducted using the estimation of a structural equation model calculated through PLS, in order to investigate the impact of choice factors and information sources on international students' loyalty, mediated by satisfaction with the choice made. The findings indicate that the choice factors with the greatest impact on satisfaction of the international students were: the perception of the country, the environment and location of the HEI, and the sources of information provided by the HEI. It was also concluded that a positive global perception of the HEI influences the recommendation from significant others, and increases the satisfaction and loyalty of all the international students. Thus, HEI managers should account for these factors when making strategic marketing decisions to increase the number of international students.",Choice factors and information sources; Satisfaction; Loyalty; International students; PLS,SPRINGER HEIDELBERG,wos-recommendation,Tactical,"The abstract discusses the evaluation of factors influencing international students' satisfaction and loyalty, which aligns with tactical decision-making aimed at implementing structured marketing strategies to attract and retain students.",20,60,15,0,5
How Customer Referral Programs Turn Social Capital into Economic Capital,"Van den Bulte, C; Bayer, E; Skiera, B; Schmitt, P",2018,10.1509/jmr.14.0653,"Customers acquired through a referral program have been observed to exhibit higher margins and lower churn than customers acquired through other means. Theory suggests two likely mechanisms for this phenomenon: (1) better matching between referred customers and the firm and (2) social enrichment by the referrer. The present study is the first to provide evidence of these two mechanisms in a customer referral program. Consistent with the theory that better matching affects contribution margins, (1) referrer-referral dyads exhibit shared unobservables in customer contribution margins, (2) referrers with more extensive experience bring in higher-margin referrals, and (3) this association between the referrer's experience and margin gap becomes smaller over the referral's lifetime. Consistent with the theory that social enrichment affects retention, referrals exhibit lower churn only as long as their referrer has not churned. These findings indicate that better matching and social enrichment are two mechanisms through which firms can leverage their customers' networks to gain new customers with higher customer lifetime value and convert social capital into economic capital. One recommendation for the managers of the firm studied is to recruit referrers among their customers who have been acquired at least six months ago, exhibit high margins, and are unlikely to churn.",customer referral programs; customer relationship marketing; referral marketing; social networks; word-of-mouth marketing,AMER MARKETING ASSOC,wos-recommendation,Tactical,"The study provides actionable insights for improving customer acquisition through referral programs, which aligns with tactical decision-making in marketing.",15,70,10,0,5
Effects of Social and Temporal Distance on Consumers' Responses to Peer Recommendations,"Zhao, M; Xie, JH",2011,10.1509/jmkr.48.3.486,"This article examines the interplay of social and temporal distance on consumers' responses to others' recommendations. Drawing on research on psychological distance and the fit literature, the authors hypothesize that others' recommendations are more persuasive when the construal levels associated with both social distance and temporal distance are congruent. Specifically, the authors first demonstrate a time-contingent effect of recommendation: Others' recommendations lead to a greater preference shift when people make decisions for distant-future consumption than for near-future consumption (Studies 1 and 2). Second, contrary to conventional wisdom, the authors find that close others do not always have a greater impact than distant others. Instead, recommendations from close others are more influential in shifting near-future preferences than those from distant others, whereas recommendations from distant others are more influential than those from close others in shifting distant-future preferences (Study 3). The authors demonstrate that others' recommendations are perceived to be more relevant as the underlying mechanism when there is a match of construal levels between the social and temporal distance. Research and managerial implications are discussed.",preference over time; construal level; recommendation; word of mouth; consumer reviews,SAGE PUBLICATIONS INC,wos-recommendation,Tactical,"The article discusses the effects of social and temporal distance on consumer preferences and recommendations, aligning with tactical decision-making that focuses on specific marketing strategies and consumer engagement.",10,70,15,0,5
