Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
APPLYING GREY SYSTEM THEORY TO FORECAST THE TOTAL VALUE OF IMPORTSAND EXPORTS OF TOP TRADED COMMODITIES IN TAIWAN,Tran T.-T.,2019,10.28924/2291-8639-17-2019-282,"Export contributes to a large extent to economic growth of an island-type economylikeTaiwan. The scientific forecasting on the total value of imports and exports of top traded commodities in Taiwan are needed as the essential inputs to determine whether new top traded commodities should be imported or exported, and to make right decision toward activities in various functional areas such as building new container terminals, operation plans, marketing strategies, as well as finance and accounting [1]. Taking the original data of the amount of import and export commodity during the years from 2007 to 2013, the author tries to establish a mathematical model of Grey forecasting to make a prediction of the total value of imports and exports of top commodities in Taiwan for the next 05 coming years from 2014 to 2018. The analysis results show that the usage of Grey forecasting models resulted in a very low mean absolute percentage error, which demonstrate its applicability in practice to provide accurate forecasts. This research also indicates that for the future period of time (2014-2017), there will be a steady increase in both exports and imports value of all top commodities. The current study may offer a good idea for the control and scheduling for the terminal operators in decision making and planning. © 2019, International Journal of Analysis and Applications. All rights reserved.",forecasting; Grey system theory; Taiwan; top commodities; trade policy,Etamaths Publishing,scopus-prediction,Strategic,"The abstract discusses long-term forecasting of import and export values, which aligns with strategic planning and decision-making for economic growth and operational improvements in Taiwan's economy.",60,20,5,10,5
Generating factors of success and failure of companies: Empirical research on Turkish companies,Alasaad T.; Gök M.Ş.,2019,10.35940/ijrte.B1186.0882S819,"In the economic field, business development is crucial for the socioeconomic development. On the one hand, the creation of companies can be an effective solution of the unemployment. On the other hand, business development is an essential factor of economic growth. Thus, the development of a country is correlated with its business development. However, business results are not always guaranteed. For this reason, controlling a number of factors related to results is an absolute necessity. Our research aims at studying a set of elements contributing to the results of the success and failure of Turkish companies. For this purpose, we considered a sample of 46 companies, which is subdivided into two sub-samples, the first represents the “Successful companies ""; this category represents 74% of the total sample. The second represents the remaining 26% formed the “Failure companies”. Empirical results highlight the importance of factors related to; the Business plan, the innovation, the marketing strategy, and the human resources. However, ignoring these factors lead to the business failure. Therefore, the prediction of success or failure factors will deliver key information to decision-makers on the mistakes to be avoided and the precautions to be taken. © BEIESP.",Business plan; Failure; Human Research; Innovation; Marketing; Success; Turkish Companies,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-prediction,Strategic,"The abstract discusses the factors influencing the success and failure of companies, emphasizing long-term economic development and the importance of strategic elements like business plans, innovation, and marketing strategies. This aligns with strategic planning aimed at defining organizational goals and success factors.",60,25,10,0,5
A fuzzy-oriented sentic analysis to capture the human emotion in Web-based content,Loia V.; Senatore S.,2014,10.1016/j.knosys.2013.09.024,"Capturing the sentiments and the emotional states enclosed in textual information is a critical task which embraces a wide range of web-oriented activities such as detecting the sentiments associated to the product reviews, developing marketing programs that would be attractive for users, enhancing customer service with respect to its expectation until to identifying new opportunities and financial market prediction, besides managing reputations. Opinions and the emotions that are embedded in them, play a key role in decision-making processes, with different effects depending on the negative or positive valence of the mood. When the choice depends on some important features (i.e., time, money, reliability/efficacy, etc.) and on other opinions (which come from previous experience), could be crucial to make the best decision. Inferring opinions and emotions enclosed in the written language is a complex task which cannot rely on body languages (posture, gestures, vocal inflections), rather than discovering concepts with an affective valence. The role of opinions extracted by the social content is crucial to support consumers' decision process; in addition, thanks opinions and emotions, it is possible to evidence improvements on existing decision supports and show how the opinion-mining techniques can be incorporated into these systems. This paper presents a tentative contribution that addresses this issue: it introduces a framework for extracting the emotions and the sentiments expressed in the textual data. The sentiments are expressed by a positive or negative polarity, the emotions are based on the Minsky's conception of emotions, that consists of four affective dimensions, each one with six levels of activations [1]. Sentiments and emotions are modeled as fuzzy sets; particularly, the intensity of the emotions has been tuned by fuzzy modifiers, which act on the linguistic patterns recognized in the sentences. The approach has been tested on some sets of documents categories, revealing interesting performance on the global framework processing. © 2013 Elsevier B.V. All rights reserved.",Decision making system; Fuzzy modifiers; Linguistic patterns; Sentic computing; Sentiment analysis; WordNet,,scopus-prediction,Tactical,"The abstract discusses a framework for extracting sentiments and emotions from textual data, which relates to structured decision-making processes in marketing, such as targeting and customer engagement. This aligns with tactical decisions that interpret strategic goals into actionable targets.",20,60,15,5,0
"Group marketing: Theory, mechanisms, and dynamics",Harmeling C.M.; Palmatier R.W.; Fang E.; Wang D.,2017,10.1509/jm.15.0495,"Group marketing uses the psychological mechanisms underlying group influence to drive customer behaviors that are beneficial to the firm. It is predicated on the firm's ability to guide two necessary and sufficient conditions: (1) a customer's awareness of an affiliation with the focal group and (2) exposure to group norms. By examining what it means to be affiliated with a group; determining how group norms are inferred, applied, and maintained; and testing a wide variety of ways in which these conditions become manifest, this research demonstrates the theoretical foundations of group marketing. Groups influence purchase behaviors by altering information and identity appraisals during decision making. Time in a purchase domain emerges as a critical determinant of the strength of group influence. Although previous research has suggested that social influence diminishes over time, a longitudinal field study and an experiment reveal that this prediction holds only when information appraisal dominates; an opposite effect arises when identity appraisal dominates. Group efficacy strengthens, but product price weakens, the effects of groups on purchase behaviors. © 2017, American Marketing Association.",Conforming purchase behavior; Dynamic group influence; Group dynamics; Group marketing; Group norms,American Marketing Association,scopus-prediction,Strategic,"The abstract discusses the theoretical foundations of group marketing and its impact on customer behaviors, which aligns with long-term organizational goals and strategic planning.",60,25,10,0,5
Giving the Expectancy-Value Model a Heart,Henning V.; Hennig-Thurau T.; Feiereisen S.,2012,10.1002/mar.20562,"Over the past decade, research in consumer behavior has debated the role of emotion in consumer decision making intensively but has offered few attempts to integrate emotion-related findings with established theoretical frameworks. This manuscript augments the classical expectancy-value model of attitude with a dimensional model of emotion. An experiment involving 308 college students who face actual purchase decisions shows that predictions of attitudes, behavioral intentions, and actual behavior can be improved through the use of the augmented model for both hedonic and utilitarian products. The augmented model has theoretical implications for marketing scholars as well as practical uses for marketers. © 2012 Wiley Periodicals, Inc.",,,scopus-prediction,Tactical,"The abstract discusses how an augmented model of consumer behavior can improve predictions related to attitudes, behavioral intentions, and actual consumer behavior, which aligns with tactical decision-making in marketing. It focuses on practical applications and structured decision-making processes that marketers can implement.",10,70,15,0,5
Obviating some of the theoretical barriers of data envelopment analysis-discriminant analysis: An application in predicting cluster membership of customers,Toloo M.; Farzipoor Saen R.; Azadi M.,2015,10.1057/jors.2014.43,"Data envelopment analysis-discriminant analysis (DEA-DA) has been used for predicting cluster membership of decision-making units (DMUs). One of the possible applications of DEA-DA is in the marketing research area. This paper uses cluster analysis to cluster customers into two clusters: Gold and Lead. Then, to predict cluster membership of new customers, DEA-DA is applied. In DEA-DA, an arbitrary parameter imposing a small gap between two clusters (η) is incorporated. It is shown that different η leads to different prediction accuracy levels since an unsuitable value for η leads to an incorrect classification of DMUs. We show that even the data set with no overlap between two clusters can be misclassified. This paper proposes a new DEA-DA model to tackle this issue. The aim of this paper is to illustrate some computational difficulties in previous DEA-DA approaches and then to propose a new DEA-DA model to overcome the difficulties. A case study demonstrates the efficacy of the proposed model. © 2015 Operational Research Society Ltd.",cluster analysis; data envelopment analysis; data envelopment analysis-discriminant analysis (DEA-DA); discriminant analysis,Palgrave Macmillan Ltd.,scopus-prediction,Tactical,"The paper discusses using DEA-DA for predicting cluster membership of customers, which aligns with tactical decision-making in marketing analytics and advanced targeting. The focus is on structured decision-making processes to achieve specific marketing targets.",10,70,15,0,5
The influence of the quality in the price of the olive oils in the origin market; [La influencia de la calidad en el precio de los aceites de oliva en origen],Gutiérrez-Salcedo M.; Murgado-Armenteros E.M.; Ruiz F.J.T.,2016,,"Olive oil is a strategic sector in Spanish agriculture, as a main producer country in the world and as a symbolic product for Spanish society (in terms of economy and culture). However, in the last decade olive oil sector is supporting very low commercial margins and it has important problems of profitability. In a context where retail distribution plays an essential role in final price fixing and, therefore, in the total shared amount by all sector agents, the effectiveness of buy-and-sale strategies along the chain influences the commercial results of the different agents. In particular, the main income of olive oil producers comes from oil marketing in the market of origin, which integrates the maximum percentage of dealings (80%). The commercial operations in this market are the references for price negotiations in other levels of the agri-food chain, for example, with distributors. In this scene, Andalusia has a predominant role because it concentrates the Spanish production of olive oils (72,40%). So, the trading operations in this area determine, in part, the national price level and they have a high influence in worldwide prices. Due to its position as a supplier row material, the market of origin is playing a key role in the incomes of all the agents in the chain. For this reason, the study of price formation, its dynamic and the variables that can influence in this process, is needed in order to know the price evolution and therefore, to decide the best moment to buy and sell. In this sense, from our point of view, in the literature is possible to underline two main characteristics that could influence in price's evolution. (1) The prices of different quality levels are very similar Price's differences are small and this fact contrasts with the public strategy to improve the quality of Spanish olive oil production (quality programmes from national and regional government and the European Union). And (2), in the last decade, these differences between qualities are constant and with a similar evolution. So, it could be possible to predict price's evolution only with the price of a quality and adding some cents in order to know the price of the rest. Based on the social context and the development of databases in the market of origin in Andalusia, the objective of this paper is to analyse the casual relationship between the prices of three qualities that are sold in origin: extra virgin, virgin and lampante. The methodology used to study the price evolution and its relationships is based on the cointegration theory, the Error Correction Model and it is completed with the study of short-run relationships through Granger's causality, variance decomposition of forecast errors and impulse response functions. Analysis includes 106 monthly data of each price series for the most instability period in the market of origin (since January'01 to October'09). This information was provided by the Foundation for the Promotion and Development of the Olive Grove and Oil, based on the POOLred System of origin prices. This system collects the features of bulk olive oil transactions of a sample of Andalusian olive oil mills that represents 55.30% of Spanish olive oil production. It is currently the main price reference in this sector. Results show that, in long term, origin is a strong integrated market and it is in equilibrium because the prices of three qualities move together during all the period. However, in short term it is possible to highlight the virgin olive oil as a leader in the market. It is the quality more independent and with more influence over the rest. So, price movements of virgin quality could predict the evolution of the other price's qualities. These outcomes are coherent with the role of virgin quality in the market of origin. Virgin olive oil is the quality with more number of commercial operations in the market. This volume is a consequence of its versatility, because can be used as direct consumption product, to mix with other olive oils or to refine. On the one hand, the direct consumption of virgin quality, similar to the virgin extra olive oil could be an influence in the price of the last one, adopting a role of direct competitor. In this sense, the use of extra virgin as a bait product for distributors reduces the differences between both prices and increase the competency. Furthermore, the consumer's confusion between different qualities of olive oils favours this situation. On the other hand, because a part of virgin's production is used to refne in order to produce olive oil, its prices could be a reference for the price of lampante. At the same time, the strategy of quality implemented by public administration is increasing the volume of virgin and extra virgin olive oils produced in Andalusia and, therefore, the numbers of commercial operations with these qualities in the market of origin. So, when quality production exceeds consumption, a part of these olive oils is destined to elaborate low quality olive oil and it increases price competition. In sum, the large number of operations and its versatility transform the virgin olive oil into the quality more important in the market of origin, from the point of view of price influences. This conclusion is useful to develop managerial strategies, specifically in the forecasting of price behaviour in the market. Because the prediction of price evolution in origin market is affected by several subjective aspects (crop level or weather prevision, for example), the use of an objective predict variable, as a virgin olive oil price, could improve the results of the models. Particularly, these results affect to the study of prices in order to request to government the intervention of the market through private storage system (Spanish Ministry of Agricultural and European Union). Furthermore, in general these results are useful for the development of agri-food policies by sector institutions, which analyse the prices in the market of origin in order to make decision about funding and grant. Finally, this paper could be a starting point to analyse causal relationship between different olive oils in the two main market of the agri-food chain (origin and final market), with the objective to know what variables have to be included in price's forecast models.",Causality; ECM; Olive oils; Price; Quality,Asociacion Universidades Publicas de Andalucia,scopus-prediction,Strategic,"The abstract discusses the pricing dynamics and market behavior of olive oil, which are crucial for long-term strategies in agricultural pricing and market positioning. It focuses on understanding price evolution and the implications for stakeholders, aligning with strategic planning objectives.",70,20,5,0,5
"Trade credit: the interaction of financing, marketing, operations, and risk behavior",Shi X.; Zhang S.,2014,10.1007/s11846-013-0103-7,"This paper builds an inter-organizational Stackelberg game model of trade credit. The incentive-compatible decision on credit term is made endogenously and in coordination to ensure Pareto optimality for both the supplier and the retailer. Our model factors in financing, marketing, operations, default risk, and risk attitude coherently, treating trade credit as their intersectional nexus. We introduce the uncertainty due to the possible default of the retailer on the accounts payable into our model. The in-kind nature of trade credit is in line with the two-stage lottery method employed in this paper to capture the consequences of default on trade credit effectively. We find that financing capacity encourages the supplier to extend the credit term: a larger market demand rate prompts the supplier to extend a longer credit term, but a higher holding cost for the retailer shortens the length of the credit term received. More risk-averse suppliers tend to grant shorter term, but the impact of risk attitude is insignificant. Empirically, we find evidence supporting our main theoretical predictions by employing a panel sample of manufacturing companies covering 1998–2007 from the COMPUSTAT database. © 2013, Springer-Verlag Berlin Heidelberg.",Bilevel programming; Default risk; Economic ordering quantity (EOQ); Trade credit; Two-stage lottery,Springer Verlag,scopus-prediction,Tactical,"The paper focuses on decision-making processes around trade credit terms in a structured manner, indicating a tactical approach to optimize outcomes for suppliers and retailers within the constraints of risk and market conditions.",15,60,20,0,5
Networked individuals predict a community wide outcome from their local information,Chesney T.,2014,10.1016/j.dss.2013.07.006,"The term 'viral' is used to describe a phenomenon that tends to be shared by those who encounter it. This paper considers the act of responding positively to a phenomenon by sharing it with others, something exemplified by the online social media acts of choosing to 'like' on Facebook, 'retweet' on Twitter, or by a similar mechanism on websites such as LinkedIn, Flickr or Pinterest. Using a threshold model of influence, simulations are run on four network structures where a critical mass chooses to share a phenomenon that eventually either goes viral or does not. The data collected are examined to determine whether an individual node can make an accurate prediction about the state of the entire network just from information on the behavior of their neighbors. The intention is to study what it is in terms of network structure that makes an individual good at sensing the zeitgeist, or 'spirit of the age'. Findings show that those best placed to predict are 'important' as measured by network centrality, and members of numerous communities. The characteristics of the critical mass are important in determining the spread of a phenomenon and it is possible for an individual node to predict an outcome as well as an observer who has access to the state of every node in the network. Potential applications might be found in monitoring the success of marketing campaigns, or in organizations wishing to keep abreast of current trends in a situation where data on network structure is available but data on the activity of network members is limited. © 2013 Elsevier B.V.",Consensus decision; Simulation; Social network; Viral marketing,,scopus-prediction,Strategic,"The abstract discusses the prediction of viral phenomena within social networks, which relates to long-term strategic planning in marketing and organizational behavior. It emphasizes understanding network structures and the characteristics of critical mass in predicting trends, aligning with strategic goals.",60,25,10,0,5
A nonparametric approach to modeling choice with limited data,Farias V.F.; Jagabathula S.; Shah D.,2013,10.1287/mnsc.1120.1610,"Choice models today are ubiquitous across a range of applications in operations and marketing. Real-world implementations of many of these models face the formidable stumbling block of simply identifying the ""right"" model of choice to use. Because models of choice are inherently high-dimensional objects, the typical approach to dealing with this problem is positing, a priori, a parametric model that one believes adequately captures choice behavior. This approach can be substantially suboptimal in scenarios where one cares about using the choice model learned to make fine-grained predictions; one must contend with the risks of mis-specification and overfitting/underfitting. Thus motivated, we visit the following problem: For a ""generic"" model of consumer choice (namely, distributions over preference lists) and a limited amount of data on how consumers actually make decisions (such as marginal information about these distributions), how may one predict revenues from offering a particular assortment of choices? An outcome of our investigation is a nonparametric approach in which the data automatically select the right choice model for revenue predictions. The approach is practical. Using a data set consisting of automobile sales transaction data from a major U.S. automaker, our method demonstrates a 20% improvement in prediction accuracy over state-of-the-art benchmark models; this improvement can translate into a 10% increase in revenues from optimizing the offer set. We also address a number of theoretical issues, among them a qualitative examination of the choice models implicitly learned by the approach. We believe that this paper takes a step toward ""automating"" the crucial task of choice model selection. © 2013 INFORMS.",Choice models; Marketing mix; Nonparametric choice; Preference list; Revenue prediction; Utility preference,,scopus-prediction,Operational,"The abstract discusses a nonparametric approach to choice modeling and revenue predictions, which is closely related to managing day-to-day decisions in marketing operations, such as consumer preferences and choice modeling.",10,20,60,0,10
