Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source
Information and source preferences of a student market in higher education,Bonnema J.; Van Der Waldt D.L.R.,2008,10.1108/09513540810875653,"Purpose - Marketing communication practitioners in higher education have not yet identified specific subgroups with similar characteristics within the prospective student (target) market, and do not always know which preferred sources learners consult when deciding on a tertiary institution for further or higher education. In addition, little is known about prospective students' information needs when deciding which institution to attend. As a result many tertiary institutions still use one message in one medium for all target markets. The aims of this paper are: to determine if sub-groups exist within the student recruitment market that need tailor made persuasive messages; to determine the preferred sources of information gathering for prospective students that influences their choice of tertiary institution; and to determine the information needs of prospective students that influence their decisions to select an institution of higher education. Design/methodology/approach - A stratified random sample of 19 schools was drawn, from which a total of 716 successfully completed questionnaires were used to conduct factor and cluster analyses to determine information needs and source preferences of these respondents. Findings - Ten factors under the VARCLUS procedure with high eigen values were grouped together with the following labels: university, college, employability aspects, course content, student experience, sporting aspects, financial aspects, direct sources, media sources and social sources. Five sub-groups clustered together with the K-means analysis, labelled: have lots, aspiring have lots, little direction and new lifers. Research limitations/implications - A limited amount of literature is available on the current use of media and sources by the target market. Decisions on the choice of a tertiary institution for higher education are most probably influenced by socio-economic circumstances in a developing context, like South Africa. Practical implications - An integrated and well co-ordinated media and message strategy for each of the various sub-groups should be specified for an IMC plan to be successful. Originality/value - This is one of the few research articles on media and source preferences of potential students in the Cape Metropolitan. The cluster analysis revealed five clusters of sub-groups that have specific media and source needs to make the decision on furthering studies at tertiary level. © Emerald Group Publishing Limited.",Consumer behaviour; Higher education; Information media; Recruitment; South Africa; Students,,scopus-k-means
Segmenting and Profiling the Chocolate Consumer: An Emerging Market Perspective,Sondhi N.; Chawla D.,2017,10.1080/10454446.2017.1244784,"Psychographic segmentation has found higher merit among marketing scholars and practicing managers in designing effective marketing strategies to target and deliver better—especially for indulgence food such as chocolates. Hence, adopting a mixed method approach, 17 attitudinal statements were generated through focus group discussions and were used to segment a sample of 301 urban chocolate consumers. The survey data was subjected to a K-means cluster analysis, and it revealed the existence of three distinct clusters: the innovative national; the conservative patriot; and the global seeker. Chi-square analysis was conducted to profile the three groups. Though the study was exploratory in nature, the clusters exhibited such distinct buying patterns that the results hold tremendous value not only from an academic perspective but also for chocolate manufacturers and retailers. All three groups were buying chocolates for gifting purpose, while the young innovators liked to buy for self-gifts as well. Point of sales display had maximum impact on their purchase decision. The global seeker was buying more foreign brands versus the other two, who bought chocolate brands of national origin. © 2017 Taylor & Francis.",adult consumers; Chocolate consumption; cluster analysis; emerging markets; Segmentation,Routledge,scopus-k-means
Field of study choice: using conjoint analysis and clustering,Shtudiner Z.; Zwilling M.; Kantor J.,2017,10.1108/IJEM-02-2016-0031,"Purpose: The purpose of this paper is to measure student’s preferences regarding various attributes that affect their decision process while choosing a higher education area of study. Design/methodology/approach: The paper exhibits two different models which shed light on the perceived value of each examined area of study: conjoint analysis and clustering k-means algorithm. Findings: The findings of the used methods exhibit not only which of the attributes have the greatest influence on students’ decision-making process, but also shed light on which types of study areas are most preferred by respondents. Originality/value: The paper addresses a new view on students’ definition of higher education when adding the choice of selecting the “proper” area of study to one’s profile. © 2017, © Emerald Publishing Limited.",Area of study; Conjoint analysis; Decision support systems and marketing; Higher education and preferences,Emerald Group Publishing Ltd.,scopus-k-means
Customer-oriented benefit segmentation: An integrated approach,Aghdaie M.H.; Tafreshi P.F.; Behzadian M.,2014,10.1504/IJBIR.2014.059532,"Segmentation is a common and important task for most marketing departments. Besides, other marketing decisions are influenced by market segmentation results. Benefit segmentation is one of the best approaches for market segmentation among others. In this paper, we proposed a novel hybrid benefit segmentation approach which applied two-stage clustering, conjoint analysis, and Delphi technique to segment customers according to their benefits. More precisely, we used two-stage clustering based on main benefits derived from conjoint analysis to classify customers into different segments. Conjoint analysis was used to assess and balance dissimilar aspects of consumers needs. Delphi method was used for the selection of the most important criteria and their levels which conjoint analysis required all of them for evaluation. This approach did not only help managers to segment customers but also to provide a way to analyse consumer behaviour, determine the marking strategy and extract the importance of each attribute in each segment. © 2014 Inderscience Enterprises Ltd.",Benefit segmentation; Conjoint analysis; Delphi method; Iran; K-means clustering; Laptop market; Market segmentation; Two-stage clustering; Wards method,Inderscience Publishers,scopus-k-means
Category role aided market segmentation approach to convenience store chain category management,Han S.; Ye Y.; Fu X.; Chen Z.,2014,10.1016/j.dss.2013.09.017,"Category management (CM) plays an increasingly important role in retailing management, as it aids retailers to increase their core competitiveness, maximise profits and ensure a good long-term customer relationship. This technique has been successfully applied to diverse large manufacturers and wholesale retailers. However, it remains a challenging task to directly employ the CM technique in convenience store (CVS) chain(s). This is because CVS chains are often distributed in a variety of areas, each store has impulsive consumers, and the traditional market segmentation attributes (e.g. consumer age, salary, and background) are difficult to collect under such circumstances. This makes it impractical to apply one general CM solution to all CVS chains. Hence, it is crucial to segment a market region and then apply customised CM solutions to the corresponding segments. This paper presents an innovative market segmentation model which is driven by category-role (CR), for the first time, to support CM in CVS chains. A new similarity measure (named HCsim()) and an improved weighted fuzzy K-means clustering algorithm (WFKM) are developed in an effort to cluster the CVSs. The usefulness and applicability of this study is illustrated by means of an empirical study to provide marketing strategy decision support. The derived results are also discussed and compared with existing methods. © 2013 Elsevier B.V.",Category management; Convenience store chain management; Market segmentation; Strategic decision support,Elsevier B.V.,scopus-k-means
LRFMP model for customer segmentation in the grocery retail industry: a case study,Peker S.; Kocyigit A.; Eren P.E.,2017,10.1108/MIP-11-2016-0210,"Purpose: The purpose of this paper is to propose a new RFM model called length, recency, frequency, monetary and periodicity (LRFMP) for classifying customers in the grocery retail industry; and to identify different customer segments in this industry based on the proposed model. Design/methodology/approach: This study combines the LRFMP model and clustering for customer segmentation. Real-life data from a grocery chain operating in Turkey is used. Three cluster validation indices are used for optimizing the number of groups of customers and K-means algorithm is employed to cluster customers. First, attributes of the LRFMP model are extracted for each customer, and then based on LRFMP model features, customers are segmented into different customer groups. Finally, identified customer segments are profiled based on LRFMP characteristics and for each customer profile, unique CRM and marketing strategies are recommended. Findings: The results show that there are five different customer groups and based on LRFMP characteristics, they are profiled as: “high-contribution loyal customers,” “low-contribution loyal customers,” “uncertain customers,” “high-spending lost customers” and “low-spending lost customers.” Practical implications: This research may provide researchers and practitioners with a systematic guideline for effectively identifying different customer profiles based on the LRFMP model, give grocery companies useful insights about different customer profiles, and assist decision makers in developing effective customer relationships and unique marketing strategies, and further allocating resources efficiently. Originality/value: This study contributes to prior literature by proposing a new RFM model, called LRFMP for the customer segmentation and providing useful insights about behaviors of different customer types in the Turkish grocery industry. It is also precious from the point of view that it is one of the first attempts in the literature which investigates the customer segmentation in the grocery retail industry. © 2017, © Emerald Publishing Limited.",CRM; Customer relations; Customer segmentation; Grocery retail industry; Marketing strategy; RFM model,Emerald Group Publishing Ltd.,scopus-k-means
Understanding the City Brand in the Regional Tourism Market Among College Students,Huang C.; Oh K.; Zhang Q.; Choi Y.-J.,2013,10.1080/10548408.2013.827544,"This study focuses on the regional tourism market around Buffalo, NY to investigate the relative importance of city brand and other city attributes in tourists' decision making about where to visit for a short weekend trip. A content analysis was used to identify the four competitor cities of Buffalo and the key attributes that the cities possess to attract tourists in the regional driving tourism market. Within the context of destination choice-sets model, the relative importance of the key attributes including city brands was investigated through a choice-based conjoint analysis. Shopping opportunities was found as the most important attribute, followed by restaurant/food, culture/festivals, sports, nature-based attractions, and city brand. Based on the relative importance of the attributes at an individual level, three distinctive tourist segments-Food and Shopping Lovers, City-Driven Do-It-All Tourists, and Cultural Tourists-were generated from a K-means cluster analysis. Different city attribute profiles were identified for those five cities. Implications and suggestions were presented to promote more efficient marketing efforts for regional tourism destinations. © 2013 Copyright Taylor and Francis Group, LLC.",choice-sets model; city brand; conjoint analysis; destination branding; Regional tourism market,,scopus-k-means
Clothing brand equity measurement method based on social listening; [基于社会化聆听的服装品牌资产度量方法],Wei Y.; Song K.; Zhong Q.,2022,10.3969/j.issn.1001-7003.2022.09.009,Brand equity measurement is the premise and basis for enterprises to formulate brand strategies and to plan marketing activities. The difficulty of measuring brand equity has been a problem that has plagued the industry for many years and needs to be solved due to the many models miscellaneous methods difficulties in unification and insensitivity of brand equity measurement. Brand equity measurement can be operated from finance market and consumer perspectives while marketers often measure brand equity from a consumer perspective as they focus on brand communication and sales issues. Traditional approaches for brand equity measurement mainly utilize consumer surveys a major limitation of which is that the respondents are highly susceptible to the influence of research instruments such as survey design and intention of the researchers. Additionally survey respondents may be unable or unwilling to express the actual hidden opinions. Traditional approaches are also limited for low efficiency in data collection which leads to delayed reporting high cost and insensitive results and therefore they may be difficult to provide timely information for marketing decisions. With the diffusion of social media consumers are provided with a greater ability to express their opinions freely on social networks. Clothing consumers in particular appear highly active on social media largely because clothing products can provide a lot of worthy topics for social conversations. In this background social listening which monitors naturally occurring brand-related consumer conversations on social networks provides an alternative data source for brand equity measurement for clothing brands. To address the problems of slow response time high cost and insensitive results of traditional brand equity measurement methods the research proposes and validates a method of measuring apparel brand equity based on social listening data by taking into account the characteristics of apparel brands. The proposed method applied consumer-based brand equity framework to social listening data which was obtained with web crawling technologies. The research first developed a framework of seven dimensions of brand benefits for clothing brands based on Keller's brand equity theory which involves brand benefits association in brand image. The seven dimensions include expertise quality aesthetics entertainment social identity fashionability and individuality. The research utilized Sina Weibo as the source of social listening data and selected brand N a leading international sports wear brand as the case to illustrate the proposed approach. Using a web crawling technology the research obtained a total of 54 360 consumer conversations of this brand on Sina Weibo for the year of 2021 involving 5 032 samples and 49 328 pieces of full data. Next the research used the keyword extraction algorithm of LDA topic model to process and purify the unstructured social listening data to establish a thesaurus for the brand benefit dimensions. The research repetitively performed the LDA algorithm four times using samples of the full data to ensure the thesaurus was complete and 1 600 pieces of data were extracted. The study concluded that the re-emergence of new words had an impact of less than 1. 41% on the brand interest keyword lexicon indicating that the lexicon was largely saturated. The resulting thesaurus included 28 keywords for the expertise dimension 12 for quality 17 for aesthetics 21 for entertainment 24 for social identity 14 for fashionability and 14 for individuality. Lastly the TF-IDF text similarity algorithm was used to calculate the similarity between the thesaurus of each dimension and the full data of social conversations to achieve the measurement of brand equity for the case brand. Innovation in this research are three folds. First the research designed and validated a new approach to measure clothing brand equity which may overcome the limitations of the existing approaches. Second it established a set of indicators of clothing brand equity which can be used for future research. Third it provided a solution to processing unstructured data in natural languages. The results showed that in 2021 consumers were highly concerned of social identity of the case brand its brand equity was influenced by the Xinjiang Cotton event which created tremendous number of conversations about the brand on social networks. In conclusion brand benefits in brand equity which marketers are highly concerned of can be extracted from social listening data. The proposed approach based on social listening data which are often dynamic may overcome the limitations of traditional methods in cost efficiency granularity and measurement sensitivity. In terms of methodology the keyword extraction algorithms such as LDA can be used to construct thesaurus of brand benefit dimensions and text-similarity algorithms can be used to provide quantitative assessment for the dimensions of brand equity. Previous research has shown that carefully planned efforts in enhancing brand equity can significantly improve marketing effectiveness. Emphasizing brand benefits during online shopping festivals or promotional events for instance can create greater consumer engagement with a brand enhance brand image in the minds of consumers and consequently improve consumers' willingness to buy. In future research the algorithms of the proposed approach can be further optimized by applying more cutting-edge machine learning techniques. For instance the algorithm in extraction of keywords and the accuracy of the algorithm for calculating text similarity have room for improvement to achieve more robust measurement of brand equity. © 2022 China Silk Association. All rights reserved.,brand benefits; brand equity measurement; clothing brand; LDA topic model; marketing effect; social listening; TF-IDF similarity,China Silk Association,scopus-machine learning
Estimating Life Cycle Sales of Technology Products with Frequent Repeat Purchases: A Fractional Calculus-Based Approach,Lotfi A.; Jiang Z.; Lotfi A.; Jain D.C.,2023,10.1287/isre.2022.1131,"Accurately predicting the sales trajectory of a product in its life cycle is critically important for firms’ medium- and long-term planning. Because classic product-diffusion models such as the Bass model consider only initial product purchases, they are ill-fitted for sales prediction for today’s technology products with a shorter life cycle and frequent repeat purchases or subscription renewals. Despite the long tradition of product diffusion research, there exists no viable model option when repeat purchases constitute a large proportion of product sales. The present study introduces a new sales growth model, termed the generalized diffusion model with repeat purchases (GDMR), to fill this void. The GDMR formulates the growth rate of sales using a noninteger-order integral equation rather than the integer-order differential equation typically adopted in existing diffusion models. The GDMR is parsimonious and easy to implement. Empirical results show that the GDMR fits sales data with varying proportions of repeat purchases quite well, making it suitable for predicting sales of a wide variety of products. In addition, the GDMR can be extended to incorporate marketing mix variables, thus enhancing its applicability in business decision making. Furthermore, using both real and simulated data, we show that the GDMR can reliably recover a product’s adoption trend using only sales data, thus cementing its theoretical validity and empirical effectiveness. Finally, we show that the GDMR is superior to generic time series and machine learning models in predicting future product sales. 2022 INFORMS.",diffusion of innovations; fractional calculus; multiunit ownerships; repeat purchases; replacements,INFORMS Inst.for Operations Res.and the Management Sciences,scopus-machine learning
Can reviews predict reviewers’ numerical ratings? The underlying mechanisms of customers’ decisions to rate products using Latent Dirichlet Allocation (LDA),Poushneh A.; Rajabi R.,2022,10.1108/JCM-09-2020-4114,"Purpose: Two valuable pieces of information – reviews and their corresponding numerical ratings – are accessible to potential customers before they make a purchasing decision. An extensive body of marketing literature has scrutinized the influence of customers’ reviews by linking such aspects as the volume and valance of reviews with product sales and customers’ purchase intention. The aim of this study, for which dual coding theory was used, was to understand the relationship between reviews and their corresponding numerical ratings. Design/methodology/approach: The authors used the latent Dirichlet allocation technique to categorize customers’ reviews. The present findings contribute to the literature by showing the underlying mechanisms that customers use to interpret reviews and associate them with numerical ratings. Findings: The gradient boosted decision tree model demonstrates that non-abstract-dominant reviews (reviews mainly consist of tangible objects, actions, events or affective words) are significant predictors of their corresponding numerical ratings. However, abstract-dominant reviews (i.e. those consisting primarily of intangible objects, events or actions) cannot predict their associated numerical ratings. Originality/value: The present findings contribute to the literature by showing the underlying mechanisms that customers use to interpret reviews and associate them with numerical ratings. © 2022, Emerald Publishing Limited.",Customer review; Dual coding theory; Gradient boosted decision tree; LDA; Machine learning; Online customer review; Online text reviews; Topic modeling,Emerald Group Holdings Ltd.,scopus-machine learning
Exploring the Impact of Time Spent Reading Product Information on E-Commerce Websites: A Machine Learning Approach to Analyze Consumer Behavior,Necula S.-C.,2023,10.3390/bs13060439,"In this study, we aim to investigate the influence of the time spent reading product information on consumer behavior in e-commerce. Given the rapid growth of e-commerce and the increasing importance of understanding online consumer behavior, our research focuses on gaining a deeper understanding of customer navigation on e-commerce websites and its effects on purchasing decisions. Recognizing the multidimensional and dynamic nature of consumer behavior, we utilize machine learning techniques, which offer the capacity to handle complex data structures and reveal hidden patterns within the data, thereby augmenting our comprehension of underlying consumer behavior mechanisms. By analyzing clickstream data using Machine Learning (ML) algorithms, we provide new insights into the internal structure of customer clusters and propose a methodology for analyzing non-linear relationships in datasets. Our results reveal that the time spent reading product-related information, combined with other factors such as bounce rates, exit rates, and customer type, significantly influences a customer’s purchasing decision. This study contributes to the existing literature on e-commerce research and offers practical implications for e-commerce website design and marketing strategies. © 2023 by the author.",clickstream data; clustering; e-commerce; Machine Learning; Principal Component Analysis,MDPI,scopus-machine learning
What are tenants demanding the most? A machine learning approach for the prediction of time on market,Cajias M.; Freudenreich A.,2024,10.1108/JPIF-09-2023-0083,"Purpose: This is the first article to apply a machine learning approach to the analysis of time on market on real estate markets. Design/methodology/approach: The random survival forest approach is introduced to the real estate market. The most important predictors of time on market are revealed and it is analyzed how the survival probability of residential rental apartments responds to these major characteristics. Findings: Results show that price, living area, construction year, year of listing and the distances to the next hairdresser, bakery and city center have the greatest impact on the marketing time of residential apartments. The time on market for an apartment in Munich is lowest at a price of 750 € per month, an area of 60 m2, built in 1985 and is in a range of 200–400 meters from the important amenities. Practical implications: The findings might be interesting for private and institutional investors to derive real estate investment decisions and implications for portfolio management strategies and ultimately to minimize cash-flow failure. Originality/value: Although machine learning algorithms have been applied frequently on the real estate market for the analysis of prices, its application for examining time on market is completely novel. This is the first paper to apply a machine learning approach to survival analysis on the real estate market. © 2024, Emerald Publishing Limited.",Decision tree; Housing; Machine learning; Random forest; Residential; Time on market,Emerald Publishing,scopus-machine learning
Predictions on usefulness and popularity of online reviews: evidence from mobile phones for older adults,Shou M.; Bao X.; Yu J.,2023,10.1108/ITP-12-2021-0930,"Purpose: Online reviews are regarded as a source of information for decision-making because of the abundance and ready availability of information. Whereas, the sheer volume of online reviews makes it hard for consumers, especially the older adults who perceive more difficulties in reading reviews and obtaining information compared to younger adults, to locate the useful ones. The main objective of this study is to propose an effective method to locate valuable reviews of mobile phones for older adults. Besides, the authors also want to explore what characteristics of the technology older adults prefer. This will benefit both e-retailers and e-commerce platforms. Design/methodology/approach: After collecting online reviews related to mobile phones designed for older adults from a popular Chinese e-commerce platform (JD Mall), topic modeling, term frequency-inverse document frequency (TF-IDF), and linguistic inquiry and word count (LIWC) methods were applied to extract latent topics and uncover potential dimensions that consumers frequently referred to in their reviews. According to consumers' attitudes towards different popular topics, seven machine learning models were employed to predict the usefulness and popularity of online reviews due to their excellent performance in prediction. To improve the performance, a weighted model based on the two best-performing models was built and evaluated. Findings: Based on the TF-IDF, topic modeling, and LIWC methods, the authors find that older adults are more interested in the exterior, sound, and communication functions of mobile phones. Besides, the weighted model (Random Forest: Decision Tree = 2:1) is the best model for predicting the online review popularity, while random forest performs best in predicting the perceived usefulness of online reviews. Practical implications: This study’s findings can help e-commerce platforms and merchants identify the needs of the targeted consumers, predict reviews that will get more attention, and provide some early responses to some questions. Originality/value: The results propose that older adults pay more attention to the mobile phones' exterior, sound, and communication function, guiding future research. Besides, this paper also enriches the current studies related to making predictions based on the information contained in the online reviews. © 2022, Emerald Publishing Limited.",E-marketing; Information management; Information society; Online shopping; Quantitative method; Text analysis,Emerald Publishing,scopus-machine learning
Machine learning models for predicting customer churn: a case study in a software-as-a-service inventory management company,Phumchusri N.; Amornvetchayakul P.,2023,10.1504/IJBIDM.2024.135146,"Software-as-a-service (SaaS) is a software-licensing model, which allows access to software on a subscription basis using external servers. This article proposes customer churn prediction models for a SaaS inventory management company in Thailand. The main focus of this work is seeking the most suitable customer churn prediction model for this case-study SaaS inventory management company which is currently having a high churn rate issue. This paper explores four machine learning algorithms, which are logistic regression, support vector machine, decision tree (DT) and random forest. The results show that the optimised DT model is capable of outperforming other classification models toward recall scorer with validated testing scores of 94.4% of recall and 88.2% of F1-score. Moreover, feature importance scores are investigated for practical insights to identify features that are significantly related to churn behaviour. Therefore, the findings can help the case-study company indicate customers who are going to churn more precisely and enhance the effectiveness of managerial decisions and effective marketing movement. Copyright © 2024 Inderscience Enterprises Ltd.",churn prediction; machine learning; SaaS; software-as-a-service,Inderscience Publishers,scopus-machine learning
Dynamic Marketing Resource Allocation with Two-Stage Decisions,Zhang S.; Liao P.; Ye H.-Q.; Zhou Z.,2022,10.3390/jtaer17010017,"In the precision marketing of a new product, it is a challenge to allocate limited resources to the target customer groups with different characteristics. We presented a framework using the distance-based algorithm, K-nearest neighbors, and support vector machine to capture customers’ preferences toward promotion channels. Additionally, online learning programming was combined with machine learning strategies to fit a dynamic environment, evaluating its performance through a parsimonious model of minimum regret. A resource optimization model was proposed using classification results as input. In particular, we collected data from an institution that provides financial credit products to capital-constrained small businesses. Our sample contained 525,919 customers who will be introduced to a new product. By simulating different scenarios between resources and demand, we showed an up to 22.42% increase in the number of expected borrowers when KNN was performed with an optimal resource allocation strategy. Our results also show that KNN is the most stable method to perform classification and that the distance-based algorithm has the most efficient adoption with online learning. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",machine learning; marketing strategy; online learning; resource allocation; small businesses,MDPI,scopus-machine learning
More than a Feeling: Accuracy and Application of Sentiment Analysis,Hartmann J.; Heitmann M.; Siebert C.; Schamp C.,2023,10.1016/j.ijresmar.2022.05.005,"Sentiment is fundamental to human communication. Countless marketing applications mine opinions from social media communication, news articles, customer feedback, or corporate communication. Various sentiment analysis methods are available and new ones have recently been proposed. Lexicons can relate individual words and expressions to sentiment scores. In contrast, machine learning methods are more complex to interpret, but promise higher accuracy, i.e., fewer false classifications. We propose an empirical framework and quantify these trade-offs for different types of research questions, data characteristics, and analytical resources to enable informed method decisions contingent on the application context. Based on a meta-analysis of 272 datasets and 12 million sentiment-labeled text documents, we find that the recently proposed transfer learning models indeed perform best, but can perform worse than popular leaderboard benchmarks suggest. We quantify the accuracy-interpretability trade-off, showing that, compared to widely established lexicons, transfer learning models on average classify more than 20 percentage points more documents correctly. To form realistic performance expectations, additional context variables, most importantly the desired number of sentiment classes and the text length, should be taken into account. We provide a pre-trained sentiment analysis model (called SiEBERT) with open-source scripts that can be applied as easily as an off-the-shelf lexicon. © 2022 The Authors",Deep Contextual Language Models; Machine Learning; Meta-Analysis; Natural Language Processing; Sentiment Analysis; Text Mining; Transfer Learning,Elsevier B.V.,scopus-machine learning
Analyzing browsing across websites by machine learning methods,Falke A.; Hruschka H.,2022,10.1007/s11573-021-01067-4,"The increasing importance of online distribution channels is paralleled by a rising interest in gaining insights into the customer journey and browsing behavior. We evaluate several machine learning methods (latent Dirichlet allocation, correlated topic model, structural topic model, replicated softmax model) with respect to their ability to reproduce the browsing behavior of households across websites. In addition, we compare these machine learning methods to a related classical technique, singular value decomposition. In our study, the replicated softmax model outperforms latent Dirichlet allocation, but the correlated topic model attains the overall best performance. Compared to singular value decomposition both the correlated topic model and the replicated softmax model lead to a more efficient compression of web browsing data. On the other hand, singular value decomposition surpasses latent Dirichlet allocation. We interpret results of the correlated topic model and the replicated softmax model by determining combinations of topics or hidden variables that are heterogeneous with respect to visited websites. We show that decision makers should not rely on bivariate measures of site visits, as these do not agree with measures of interdependences between sites that can be inferred from the correlated topic model or the replicated softmax model. We investigate how well topics or hidden variables measured by these methods predict yearly household expenditures. The correlated topic model leads to the best predictive performance, followed by the replicated softmax model. We also discuss how the replicated softmax model can be used to support online marketing decisions of websites. © 2021, The Author(s).",Machine learning; Online marketing; Restricted Boltzmann machine; Topic models; Web browsing,Springer Science and Business Media Deutschland GmbH,scopus-machine learning
Perceived usefulness of online customer reviews: A review mining approach using machine learning & exploratory data analysis,Guha Majumder M.; Dutta Gupta S.; Paul J.,2022,10.1016/j.jbusres.2022.06.012,"Online customer reviews, considered as electronic word of mouth, have become very useful in the era of e-commerce as they facilitate future purchase decisions. The present study discusses the central and peripheral sources of influence, such as the content of the review, star rating, review length, and the total number of votes on the perceived usefulness of the review. It analyses reviews from Amazon.com on three products, namely, a videogame, digital music, and a grocery item. Using text mining, the study uncovers sentiment polarity, identifies sentiment patterns, and finally, analyses the perceived usefulness of reviews under the moderation effect. The study establishes that the impact of the central route is not significant for search goods. The study concludes that peripheral sources have a significant impact on the search products. Our study provides insights on how marketing strategies can be formulated by online retailers based on the product type. © 2022 Elsevier Inc.",Electronic word of mouth; Online customer review; Peripheral; Sentiment analysis; Text mining,Elsevier Inc.,scopus-machine learning
An Effective Approach to Promote Air Traveler Repurchasing Using the Random Forest Algorithm: Predictive Model Design and Utility Evaluation,Zhang Z.; Chen Y.; Liu L.,2022,10.1155/2022/6928833,"How to promote air traveler repurchasing has become an important marketing strategy in airlines. However, because of the growing concern over user privacy, effectively and accurately delivering advertising to promote repurchasing has become more difficult. Here, we propose an effective framework based on machine learning to model the air traveler repurchasing and furthermore employ a field experiment to test the utility of a model framework. Specifically, we collected that this model framework is based on the random forest algorithm and compared with the conclusions of the other four algorithms, K-nearest neighbor, decision tree, support vector machine, and ExtraTree algorithms. The results show that the proposed model framework is better than the prediction results of the other algorithms. In addition, the proposed model framework was verified through a real case of an airline in China. This study will serve as a guide to analyze the repurchase behaviors of an air traveler and help airlines build a loyal air traveler base. © 2022 Zhenyuan Zhang et al.",,Hindawi Limited,scopus-machine learning
Toward a new approach to author profiling based on the extraction of statistical features,Ouni S.; Fkih F.; Omri M.N.,2021,10.1007/s13278-021-00768-6,"Recently, author profiling on social media and on online platforms, characterized by a huge volumes of data, has become more than a critical issue. This issue is of increasing interest in various fields related to forensic medicine, security, marketing, education, etc. The main objective of author profiling is to identify the type of writer of the messages, whether it is a human or a bot with a very strong presence. These bots have the task of drawing the attention of browsers to specific events, often used to disseminate incorrect and/or false information. In this work, we offer a new approach to detect these bots and the kind of anonymous perpetrators on these social networks. Our approach, purely statistical, is based on digital features (APSF), extracted from users’ tweets, and on the technique of random forests. A total of 17 stylometry-based features were used to train the model. To assess the performance of our approach, we considered different standard measures, namely accuracy, precision, recall and F1-score. The results obtained show that our approach gives the best performance for both English and Spanish languages. For the English dataset, we achieved an accuracy of 92.45% for the bot detection task and 90.36% for the gender classification; similarly, we obtained accuracy values of 89.68% and 88.88% for the Spanish dataset. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.",Bot detection; Features extraction; Gender detection; Machine learning; Twitter,Springer,scopus-machine learning
The Factors Influencing Older Adults’ Decisions Surrounding Adoption of Technology: Quantitative Experimental Study,Moxley J.; Sharit J.; Czaja S.J.,2022,10.2196/39890,"Background: The rapid diffusion of technology apps may support older adults’ independence and improve the quality of their lives. Models for predicting technology acceptance in older adults are sparse, based on broad questions related to general technology acceptance, and largely not grounded in theories of aging. Objective: This study aimed to use a mixed methods approach involving 5 technologies to comprehensively assess the causal relationships among factors that influence older adults’ willingness to adopt the technologies. Methods: In total, 187 men and women aged 65 to 92 years participated in the study. Participants were given presentations on 5 different technologies spanning domains that included transportation, leisure, health, and new learning and provided ratings of each technology on various measures hypothesized to influence adoption. They were also administered other instruments to collect data on their actual and self-assessed cognitive abilities, rates of discounting of the technologies with respect to willingness to invest time to attain higher skills in the technologies, general technology experience, and attitudes toward technology. We used the machine learning technique of k-fold cross-validated regressions to select variables that predicted participants’ willingness to adopt the technologies. Results: Willingness to adopt technologies was most impacted by 3 variables: perceived value of the technologies (β=.54), perceived improvement in quality of life attainable from the technologies (β=.24), and confidence in being able to use the technologies (β=.15). These variables, in turn, were mostly facilitated or inhibited by the perceived effort required to learn to use the technologies, a positive attitude toward technology as reflected in the optimism component of the technology readiness scale, the degree to which technologies were discounted, and the perceived help needed to learn to use the technologies. Conclusions: Our findings demonstrate that participants’ willingness to adopt technologies is mainly determined by perceptions of 3 aspects of the technologies; these aspects possibly mediate many relationships with willingness to adopt. We discuss the implications of these findings for the design and marketing of technology products for older consumers. ©Jerad Moxley, Joseph Sharit, Sara J Czaja.",adopt; adoption; aging; application; cognition; cognitive; consumer; design; design; health; independence; learning; leisure; marketing; mobile phone; older adult; relationship; technology; technology; transportation; willingness,JMIR Publications Inc.,scopus-machine learning
"""give Everybody [..] a Little Bit More Equity"": Content Creator Perspectives and Responses to the Algorithmic Demonetization of Content Associated with Disadvantaged Groups",Kingsley S.; Sinha P.; Wang C.; Eslami M.; Hong J.I.,2022,10.1145/3555149,"Algorithmic systems help manage the governance of digital platforms featuring user-generated content, including how money is distributed to creators from the profits a platform earns from advertising on this content. However, creators producing content about disadvantaged populations have reported that these kinds of systems are biased, having associated their content with prohibited or unsafe content, leading to what creators believed were error-prone decisions to demonetize their videos. Motivated by these reports, we present the results of 20 interviews with YouTube creators and a content analysis of videos, tweets, and news about demonetization cases to understand YouTubers' perceptions of demonetization affecting videos featuring disadvantaged or vulnerable populations, as well as creator responses to demonetization, and what kinds of tools and infrastructure support they desired. We found creators had concerns about YouTube's algorithmic system stereotyping content featuring vulnerable demographics in harmful ways, for example by labeling it ""unsafe'' for children or families - creators believed these demonetization errors led to a range of economic, social, and personal harms. To provide more context to these findings, we analyzed and report on the technique a few creators used to audit YouTube's algorithms to learn what could cause the demonetization of videos featuring LGBTQ people, culture and/or social issues. In response to the varying beliefs about the causes and harms of demonetization errors, we found our interviewees wanted more reliable information and statistics about demonetization cases and errors, more control over their content and advertising, and better economic security.  © 2022 Owner/Author.",algorithm auditing; algorithmic systems; algorithms; bias; content creators; creative economy; demonetization; discrimination; economic opportunity; fair pay; future of work; LGBTQ; machine learning systems.; marginalized communities; monetization; precarious work; user auditing; YouTube,Association for Computing Machinery,scopus-machine learning
